Staff ID;FirstName;LastName;Date of Birth;Gender;Position ID ;Email Address;Comments
1;LAKISHA;TOMBLIN;06.08.1961;F;2;l_tomblin@nnl.com;NULL
2;KRIS;SWEELY;24.12.1980;M;3;k_sweely@yahoo.com;NULL
3;ELSIE;ESTELL;07.07.1974;F;8;elsie.estell@rrg.net;NULL
4;TYRELL;ROSENBERG;02.08.1965;M;6;tyrell_rosenberg@hotmail.com;NULL
5;MADELYN;HOOVER;04.12.1962;F;1;madelyn_hoover@hotmail.com;NULL
6;KENETH;PARHAM;30.03.1967;M;2;k_parham@live.com;NULL
7;LYLE;MALLORY;06.07.1989;M;8;l_mallory@live.com;NULL
8;CLIFTON;FIGUEROA;23.03.1956;M;6;c_figueroa@live.com;NULL
9;MOHAMMAD;RICHEY;01.07.1995;M;2;mohammad_richey@jcl.net;NULL
10;WINIFRED;DUNCAN;20.10.1968;F;11;7w_duncan@hotmail.com;NULL
11;VERNITA;SEABORN;13.10.1993;F;19;6v_seaborn@gmail.com;NULL
12;LENORA;HIGGINS;29.06.1997;F;3;l_higgins@msv.org;NULL
13;DON;RUSS;13.10.1971;M;4;don_russ@jcl.net;NULL
14;THADDEUS;STALEY;13.02.1992;M;7;t_staley@nnl.com;NULL
15;WILFORD;RIVERA;21.09.1978;M;1;wilford.rivera@gmail.com;NULL
16;LANCE;BEYER;30.09.1990;M;5;l_beyer@rnl.com;NULL
17;LASHANDA;SNOWDEN;28.06.1983;F;8;lashanda.snowden@rrg.net;NULL
18;GLORY;FELDER;18.11.1963;F;3;glory.felder@hotmail.com;NULL
19;ESTELLA;BLALOCK;17.10.1951;F;7;e_blalock@ccf.org;NULL
20;TRAVIS;RAMOS;21.04.1983;M;1;travis_ramos@hotmail.com;NULL
21;ILA;THOMPSON;17.05.1979;F;2;i_thompson@yahoo.com;NULL
22;LORRAINE;MCKEE;11.10.1973;F;6;l_mckee@hotmail.com;NULL
23;SHELLIE;MONTANO;19.09.1974;F;1;shellie_montano@hotmail.com;NULL
24;ERVIN;LAWRENCE;20.12.1984;M;8;ervin_lawrence@hotmail.com;NULL
25;GOLDA;GRANGER;28.04.1982;F;8;g_granger@msv.org;NULL
26;KING;MERCADO;26.11.1952;M;13;7k_mercado@hotmail.com;NULL
27;GERARDO;BOWSER;19.08.1953;M;2;gerardo_bowser@hotmail.com;NULL
28;KARIN;MCCARTY;17.10.1985;F;3;k_mccarty@gmail.com;NULL
29;MAYRA;CALLAHAN;07.08.1979;F;6;m_callahan@live.com;NULL
30;CALLAN;MCCONNELL;13.12.1958;M;8;callan.mcconnell@gmail.com;NULL
31;CLAYTON;MARKS;08.03.1988;M;5;c_marks@nnl.com;NULL
32;TRACY;CUMMINGS;07.01.1991;F;4;tracy.cummings@gmail.com;NULL
33;NELSON;CASEY;18.06.1986;M;8;n_casey@hr.org;NULL
34;STAN;STOVALL;07.10.1960;M;6;s_stovall@gmail.com;NULL
35;EARLENE;HOGAN;27.02.1964;F;8;e_hogan@gmail.com;NULL
36;WAYNE;ROSARIO;20.06.1953;M;5;w_rosario@gmail.com;NULL
37;AUTUMN;MCCALL;11.03.1965;F;3;autumn.mccall@rrg.net;NULL
38;PRINCESS;CATT;21.06.1970;F;8;p_catt@hotmail.com;NULL
39;SIBYL;TAGALA;21.05.1998;F;1;sibyl.tagala@hotmail.com;NULL
40;MILAGROS;BUSCH;20.12.1965;F;8;milagros_busch@jcl.net;NULL
41;DONNIE;JENNINGS;15.10.1969;F;1;d_jennings@msv.org;NULL
42;OTIS;ENRIQUEZ;11.01.1986;M;11;7otis_enriquez@hotmail.com;NULL
43;PETE;REDDING;17.12.1988;M;2;p_redding@ccf.org;NULL
44;VAN;JACK;18.02.1967;M;8;v_jack@hr.org;NULL
45;CYNTHIA;SOSA;08.11.1989;F;8;c_sosa@gmail.com;NULL
46;LUCIA;SPICER;26.09.1952;F;7;l_spicer@yahoo.com;NULL
47;TONJA;LEPPALA;20.05.1958;F;8;t_leppala@yahoo.com;NULL
